['74', '85', '123']
['61', '82', '127']
['144', '176', '219']
['168', '190', '238']
['192', '207', '255']
['215', '217', '251']
['208', '221', '253']
['168', '190', '238']
['206', '218', '252']
['81', '93', '133']
['71', '82', '120']
['206', '214', '251']
['201', '208', '251']
['172', '187', '243']
['86', '92', '133']
['111', '162', '218']
['135', '166', '221']
['83', '91', '131']
['201', '211', '251']
['110', '167', '228']
['140', '166', '213']
['110', '133', '183']
['103', '122', '173']
['48', '63', '119']
['105', '126', '178']
['103', '126', '182']
['56', '81', '145']
['98', '121', '177']
['50', '64', '122']
['126', '154', '214']
['81', '87', '128']
['144', '169', '225']
['47', '71', '125']
['135', '136', '194']
['138', '137', '193']
['47', '104', '160']
['41', '100', '149']
['145', '179', '225']
['150', '144', '201']
['144', '141', '196']
['48', '105', '150']
['107', '113', '166']
['52', '103', '165']
['50', '106', '153']
['112', '156', '209']
['133', '172', '224']
['144', '181', '255']
['42', '88', '135']
