['74', '85', '123']
['61', '82', '127']
['144', '176', '219']
['168', '190', '238']
['192', '207', '255']
['217', '220', '251']
['209', '221', '255']
['168', '190', '238']
['207', '217', '251']
['81', '93', '133']
['71', '82', '120']
['182', '198', '245']
['210', '216', '251']
['70', '85', '131']
['143', '182', '234']
['118', '164', '218']
['111', '162', '218']
['200', '210', '250']
['45', '81', '129']
['203', '213', '253']
['112', '168', '227']
['137', '162', '212']
['121', '138', '194']
['96', '117', '168']
['48', '63', '119']
['114', '137', '193']
['105', '129', '183']
['43', '64', '126']
['110', '164', '229']
['70', '86', '129']
['48', '64', '123']
['83', '92', '130']
['70', '94', '130']
['45', '66', '111']
['116', '128', '186']
['38', '93', '150']
['148', '142', '199']
['46', '103', '155']
['148', '142', '199']
['54', '108', '161']
['140', '174', '228']
['43', '98', '149']
['126', '129', '184']
['123', '126', '181']
